2370005-335	|	755	755	596	|	403	3.254	|	1.873	6.097	6.097	755	1.267
2370005-333	|	1004	1004	839	|	573	3.254	|	1.752	5.702	5.702	1004	1.197
2370005-329	|	1061	1061	1035	|	687	3.254	|	1.544	5.026	5.026	1061	1.025
2370005-331	|	1021	1021	1106	|	759	3.254	|	1.345	4.378	4.378	1021	0.923
2400004-301	|	888	886	1069	|	810	4.427	|	1.096	4.853	4.842	886	0.831
2400004-335	|	435	434	596	|	280	4.427	|	1.554	6.878	6.862	434	0.73
2400004-305	|	880	878	1227	|	912	4.427	|	0.965	4.272	4.262	878	0.717
2120020-387	|	633	633	950	|	753	9.793	|	0.841	8.232	8.232	633	0.666
2400004-333	|	553	552	839	|	365	4.427	|	1.515	6.707	6.695	552	0.659
2120020-385	|	692	692	1089	|	869	9.793	|	0.796	7.798	7.798	692	0.635
2400004-329	|	614	614	1035	|	477	4.427	|	1.287	5.699	5.699	614	0.593
2370005-387	|	555	555	950	|	365	3.254	|	1.521	4.949	4.949	555	0.584
2120020-335	|	346	346	596	|	477	9.793	|	0.725	7.103	7.103	346	0.581
2400004-303	|	814	812	1431	|	1072	4.427	|	0.759	3.362	3.353	812	0.569
2370005-359	|	534	534	951	|	379	3.254	|	1.409	4.585	4.585	534	0.562
2120020-391	|	509	509	909	|	735	9.793	|	0.693	6.782	6.782	509	0.56
2370005-301	|	560	559	1069	|	421	3.254	|	1.33	4.329	4.321	559	0.524
2120020-333	|	440	439	839	|	681	9.793	|	0.646	6.327	6.313	439	0.524
2370005-385	|	567	566	1089	|	397	3.254	|	1.428	4.648	4.640	566	0.521
2370005-328	|	1414	1414	2806	|	1977	3.254	|	0.715	2.328	2.328	1414	0.504
2400004-307	|	624	622	1241	|	957	4.427	|	0.652	2.887	2.877	622	0.503
2370005-332	|	1390	1390	2813	|	2014	3.254	|	0.69	2.246	2.246	1390	0.494
2370005-330	|	1414	1414	2863	|	2014	3.254	|	0.702	2.285	2.285	1414	0.494
2120020-329	|	509	508	1035	|	814	9.793	|	0.625	6.123	6.111	508	0.492
2120020-301	|	522	522	1069	|	865	9.793	|	0.603	5.91	5.910	522	0.488
2400004-331	|	538	537	1106	|	473	4.427	|	1.137	5.035	5.026	537	0.486
2400004-387	|	447	447	950	|	513	4.427	|	0.871	3.857	3.857	447	0.471
2370005-334	|	1182	1182	2527	|	1761	3.254	|	0.671	2.184	2.184	1182	0.468
2120020-359	|	440	439	951	|	751	9.793	|	0.586	5.737	5.724	439	0.463
2400004-385	|	497	494	1089	|	589	4.427	|	0.844	3.736	3.713	494	0.456
